Ficheiro gerado automaticamente: questões de Mecânica das Rochas para Anki (Frente<TAB>Verso)
O que é Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Pergunta de revisão avançada #116: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #117: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #118: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #119: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #120: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #121: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #122: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #123: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #124: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #125: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #126: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #127: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #128: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #129: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #130: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #131: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #132: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #133: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #134: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #135: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #136: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #137: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #138: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #139: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #140: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #141: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #142: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #143: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #144: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #145: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #146: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #147: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #148: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #149: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #150: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #151: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #152: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #153: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #154: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #155: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #156: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #157: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #158: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #159: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #160: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #161: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #162: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #163: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #164: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #165: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #166: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #167: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #168: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #169: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #170: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #171: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #172: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #173: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #174: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #175: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #176: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #177: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #178: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #179: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #180: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #181: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #182: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #183: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #184: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #185: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #186: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #187: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #188: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #189: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #190: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #191: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #192: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #193: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #194: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #195: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #196: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #197: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #198: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #199: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #200: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #201: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #202: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #203: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #204: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #205: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #206: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #207: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #208: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #209: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #210: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #211: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #212: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #213: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #214: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #215: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #216: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #217: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #218: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #219: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #220: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #221: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #222: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #223: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #224: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #225: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #226: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #227: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #228: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #229: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #230: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #231: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #232: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #233: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #234: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
